phase_key,seed,dimension,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_clean,42,feature_missing__Arr_Hour,observed,496,89,0.17943548387096775,0.17592519350644506,-0.003510290364522689,0.5130093274423171,0.4697468302993317,0.5640200977279628,0.1474867135480288,0.02323004405427024,323.0,84.0,68.0,21.0,0.2,0.23595505617977527,0.20638820638820637,0.7640449438202247,0.3064516129032258
P6_clean,42,feature_missing__Arr_Hour,missing,5,1,0.2,0.1578225177883554,-0.04217748221164461,0.375,0.6292716476535509,0.25,0.19122894464048548,0.28913722472261927,3.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,0.4
P6_clean,42,raw_missing_count,0,216,35,0.16203703703703703,0.17664162723802146,0.014604590200984424,0.5434093311188284,0.43483841350181085,0.6209944751381214,0.13444815850916705,0.014604590200984422,151.0,30.0,26.0,9.0,0.23076923076923078,0.2571428571428571,0.16574585635359115,0.7428571428571429,0.25925925925925924
P6_clean,42,raw_missing_count,1,205,44,0.2146341463414634,0.1744802599298115,-0.04015388641165191,0.5017361111111112,0.5276082438700678,0.5319028797289667,0.17040041769918474,0.06564890467877015,125.0,36.0,34.0,10.0,0.21739130434782608,0.22727272727272727,0.2236024844720497,0.7727272727272727,0.34146341463414637
P6_clean,42,raw_missing_count,2,66,10,0.15151515151515152,0.17554239191169435,0.02402724039654283,0.42525399129172714,0.45400604197259936,0.4428571428571429,0.13762151223874414,0.03649875989136073,41.0,15.0,9.0,1.0,0.0625,0.1,0.26785714285714285,0.9,0.36363636363636365
P6_clean,42,raw_missing_count,3,12,0,0.0,0.17679602426408805,0.17679602426408805,0.4,0.1964999118817828,,0.03386911364290979,0.1767960242640881,8.0,4.0,0.0,0.0,0.0,,0.3333333333333333,,0.3333333333333333
P6_clean,42,raw_missing_count,4,2,1,0.5,0.208806820886825,-0.291193179113175,1.0,0.866800522104136,1.0,0.323608802619872,0.4886873592163341,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
P6_clean,42,raw_time_pattern,both_observed,405,73,0.18024691358024691,0.17672123654799654,-0.003525677032250374,0.5203657684243224,0.4693969478597605,0.5722272652252847,0.14763841205293485,0.02073287776138906,265.0,67.0,55.0,18.0,0.21176470588235294,0.2465753424657534,0.20180722891566266,0.7534246575342466,0.3012345679012346
P6_clean,42,raw_time_pattern,departure_missing,44,8,0.18181818181818182,0.16098857101048347,-0.02082961080769835,0.49034749034749037,0.497399099578159,0.4409722222222222,0.15423649728027208,0.03156688413734213,31.0,5.0,7.0,1.0,0.16666666666666666,0.125,0.1388888888888889,0.875,0.2727272727272727
P6_clean,42,raw_time_pattern,arrival_missing,47,8,0.1702127659574468,0.18304889474035915,0.012836128782912348,0.46590909090909094,0.446874543911202,0.5769230769230769,0.13986057783088754,0.06763554828266755,27.0,12.0,6.0,2.0,0.14285714285714285,0.25,0.3076923076923077,0.75,0.3829787234042553
P6_clean,42,raw_time_pattern,both_missing,5,1,0.2,0.1578225177883554,-0.04217748221164461,0.375,0.6292716476535509,0.25,0.19122894464048548,0.28913722472261927,3.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,0.4
