bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
2,0.2,0.3,105,0.23164494088917437,0.20952380952380953,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
3,0.3,0.4,7,0.3183735471057519,0.14285714285714285,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),observed
0,0.0,0.1,1,0.0736609491914127,0.0,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
1,0.1,0.2,42,0.15176706996946537,0.23809523809523808,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
2,0.2,0.3,18,0.24023525578432434,0.05555555555555555,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
3,0.3,0.4,3,0.32022573401184035,0.0,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
4,0.4,0.5,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Carrier_ID(DOT),missing
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,raw_missing__Tail_Number,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,raw_missing__Tail_Number,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,raw_missing__Tail_Number,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Tail_Number,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Tail_Number,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Tail_Number,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Tail_Number,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Tail_Number,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Tail_Number,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Tail_Number,observed
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,feature_missing__Airline,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,feature_missing__Airline,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,feature_missing__Airline,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,feature_missing__Airline,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,feature_missing__Airline,observed
5,0.5,0.6,0,,,P6_fixed,42,feature_missing__Airline,observed
6,0.6,0.7,0,,,P6_fixed,42,feature_missing__Airline,observed
7,0.7,0.8,0,,,P6_fixed,42,feature_missing__Airline,observed
8,0.8,0.9,0,,,P6_fixed,42,feature_missing__Airline,observed
9,0.9,1.0,0,,,P6_fixed,42,feature_missing__Airline,observed
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,feature_missing__Dep_Hour,observed
1,0.1,0.2,334,0.15495686856345509,0.18562874251497005,P6_fixed,42,feature_missing__Dep_Hour,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,feature_missing__Dep_Hour,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,feature_missing__Dep_Hour,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,feature_missing__Dep_Hour,observed
5,0.5,0.6,0,,,P6_fixed,42,feature_missing__Dep_Hour,observed
6,0.6,0.7,0,,,P6_fixed,42,feature_missing__Dep_Hour,observed
7,0.7,0.8,0,,,P6_fixed,42,feature_missing__Dep_Hour,observed
8,0.8,0.9,0,,,P6_fixed,42,feature_missing__Dep_Hour,observed
9,0.9,1.0,0,,,P6_fixed,42,feature_missing__Dep_Hour,observed
0,0.0,0.1,0,,,P6_fixed,42,feature_missing__Dep_Hour,missing
1,0.1,0.2,5,0.16969049424053265,0.2,P6_fixed,42,feature_missing__Dep_Hour,missing
2,0.2,0.3,0,,,P6_fixed,42,feature_missing__Dep_Hour,missing
3,0.3,0.4,0,,,P6_fixed,42,feature_missing__Dep_Hour,missing
4,0.4,0.5,0,,,P6_fixed,42,feature_missing__Dep_Hour,missing
