phase_key,arm,seed,group,brier,ece_10,log_loss,macro_f1,roc_auc,recall,precision,calibration_bias,calibrator,n
P6_fixed,split,7,both_missing,0.00025863333683512346,0.0007406860551569007,0.001134790007319808,0.003758716902635295,-0.006510944000589158,0.0077071290944122905,0.005692937199786502,0.0021768051277085,isotonic,3031
P6_clean,shared,7,overall,2.09597364201064e-05,-0.0021559624593366997,0.0012344420684173851,0.00032841481620127233,-0.0006994176747305847,0.016377777777777713,-0.0027334128535590474,0.0025770464982431,isotonic,255001
P6_clean,shared,7,both_observed,1.942920280281757e-05,-0.0015887625072237002,0.001534147131883823,0.0005819287330567358,-0.00068058485654654,0.01685755089468227,-0.0022733736307873342,0.0025499963494185996,isotonic,202507
P6_clean,shared,7,departure_missing,-2.3593231272822646e-05,-0.00433392328717,-9.820473577648592e-05,-0.0006757411967718285,-0.00020061141094662727,0.015482695810564606,-0.004416145282804096,0.0027510072997978,isotonic,24810
P6_clean,shared,7,arrival_missing,5.693370107481832e-05,-0.0014397322260188998,0.00016752872820652298,-0.0011560439575597492,-0.0010248473620202425,0.014618547281863903,-0.0051620879505751005,0.002592000739013,isotonic,24653
P6_clean,shared,7,both_missing,0.00019530376448351205,-0.002356662191478001,0.0007967015540332745,0.0025217985234468054,-0.006542775793723865,0.00578034682080919,0.0032867985904039,0.0028387456416725,isotonic,3031
P6_clean,split,7,overall,6.361229361750986e-05,-0.0017827589110311999,0.0015128213055445872,0.00011825246484553631,-0.0011127333785181381,0.010711111111111116,-0.002369739785297198,0.0027165031725013,isotonic,255001
P6_clean,split,7,both_observed,5.2986384799807995e-05,-0.0010192341918494,0.0018245964975949769,0.00025172141252371993,-0.0010500818349923335,0.01120103049480553,-0.0021595970299518874,0.0026772993620834,isotonic,202507
P6_clean,split,7,departure_missing,7.35467668832035e-05,-0.005267440062871,0.00021533051738803488,-0.00011138845201452696,-0.0009565116389858019,0.010473588342440887,-0.002738513245019669,0.002906957721081561,isotonic,24810
P6_clean,split,7,arrival_missing,0.00012361446637351725,-0.0010844944890253993,0.00031863758046679624,-0.0009432829835701595,-0.0016551877197892306,0.007309273640931924,-0.003670107462641181,0.0027278238121562,isotonic,24653
P6_clean,split,7,both_missing,0.0002041972722541252,0.0010487091205701998,0.0010160542359194946,0.0025539166523268486,-0.0021173895168317136,0.0077071290944122905,0.00011261261261261146,0.0036847581895347002,isotonic,3031
